Number, Authors,Year,Journal/Conference,Title,Cognitive,Perceptual,Involves Priming,Suggested Keywords,Detailed Comments,Agent/Avatar,Body Ownership,User Response,Participant Group,Relevance,Quality,Contributor (Your Name),Date Entered,
11,"Chopra Khullar, S
Badler, N I",1999,Autonomous Agents and Multi-Agent Systems,Where to Look? Automating Attending Behaviors of Virtual Human Characters.,Yes, No, No,Eye Gaze (i),Realistic gaze model for agents. No user tests.,Agent,No,,, Low, Medium,Ryan / Remo,2013-01-30,
12,"Pelechano, Nuria
et al.",2008,International Joint Conference on Autonomous Agents and Multiagent Systems (AAMAS),Being a Part of the Crowd: Towards Validating VR Crowds using Presence,Yes,Yes,Yes,Situational Plausibility (a),"Subjects told to assess validity of virtual world, really interested in realism of crowd behavior models",Agent,No,"Beliefs/Illusions
Presence
Social Presence",Randomly recruited members of university, Low, Medium,Ryan / Remo,2013-01-30,
13,"Taylor, T.L.",2002,The Social Life of Avatars: Presence and Interaction in Shared Virtual Environments,Living Digitally: Embodiment in Virtual Worlds, No, No, No,,Survey of feelings while in the virtual world, Avatar,Yes (effect of using avatars to embody the self in the digital realm),Beliefs/Illusions,"Players of ""The Dreamscape""", Low, Medium,Ryan / Remo,2013-01-30,
14,"Mennecke, Brian
et al.",2008,SSRN Electronic Journal,Embodied Social Presence Theory, No, No, No,,, N/A,Yes (talks about embodied avatar as nexus of social activity),,, Low,High,Ryan / Remo,2013-01-30,
15,"Heldal, Ilona
et al.",2005,IEEE Virtual Reality (VR),Immersiveness and Symmetry in Copresent Scenarios, No,Yes, No,"Immersiveness (sm)
Graphical Fidelity (sm)","Opinion of interaction with some numeric rating, Measure time taken for teams to complete task, No knowledge of partner or their technology.
Nice comparison between immersive projection and HMD systems.", Avatar,Yes (collaboration with others in virtual and real environment), Behavior,220 Volunteers, Medium, Medium,Ryan / Remo,2013-01-30,
16,"Adalgeirsson, Sigurdur Orn
Breazeal, Cynthia",2010,ACM/IEEE International Conference on Human-Robot Interaction (HRI),MeBot: A Robotic Platform for Socially Embodied Telepresence, No,Yes, N/A,Physical Shape (s),"Numeric rating of interaction, ""desert survival"" scenario, Measure number of changes to items selected depending on robot configuration", Avatar,Yes (in the sense of telepresence), Behavior,42, Low, Medium,Ryan / Remo,2013-01-30,
17,"Mantovani, Giuseppe
Riva, Giuseppe",1999,Presence: Teleoperators and Virtual Environments,"“Real” Presence: How Different Ontologies Generate Different Criteria for Presence, Telepresence, and Virtual Presence", N/A, N/A, N/A,,, N/A,N/A,,, Low, Medium,Ryan / Remo,2013-01-30,
18,"Raij, Andrew B
et al.",2007,IEEE Transactions on Visualization and Computer Graphics,Comparing interpersonal interactions with a virtual human to those with a real human.,Yes, No, N/A,"Situational Plausibility (a)
Emotiveness (i) 
Auditory Stimuli (o)
Synchronization of Stimuli (a)","Student rating of interaction with patient, Expert rating of interaction with patient, automated rating of goals completed", Mixed,No, Behavior,"Same-year, same-school med students",High,High,Ryan / Remo,2013-01-30,
19,"Sas, Corina
O'Hare, Gregory M. P.",2003,Presence: Teleoperators and Virtual Environments,Presence Equation: An Investigation into Cognitive Factors Underlying Presence,Yes, N/A,Yes,,"Numeric rating, Pursuit of unseen virtual character.
Psychological make-up of users (creativity, empathy capacity, willingness) made a big difference to observed level of presence", N/A,No,Beliefs/Illusions,"32 CS students, University College Dublin (20-38 old)", Low, Medium,Ryan / Remo,2013-01-30,
20,"Zanbaka, Catherine Amine
et al.",2007,SIGCHI Conference on Human Factors in Computing Systems (CHI),Social responses to virtual humans,Yes,Yes, N/A,"Situational Plausibility (a)
Display Technology (sm)","Survey questions, Time required to complete task. Considered if social facilitation and inhibition occur with virtual humans.", Mixed,No, Behavior,85 Psych students, Medium, Medium,Ryan / Remo,2013-01-30,
21,"Schilbach, Leonhard
et al.",2006,Neuropsychologia,Being with Virtual Others: Neural Correlates of Social Interaction.,Yes,Yes,Yes,"Emotiveness (i) 
Eye Gaze (i)
Anthropomorphic Face and Facial Expressions (a)","fMRI response used to estimate thoughts/feelings about interaction, Part of virtual scene with one seen and one unseen character",Agent,No, Thoughts,18 Right-handed healthy males, Medium,High,Ryan / Remo,2013-01-30,
22,"Haans, Antal
IJsselsteijn, Wijnand A.",2012,Interacting with Computers,Embodiment and Telepresence: Toward a Comprehensive Theoretical Framework, N/A, N/A, N/A,,, N/A,Yes (telepresence),,, Low, Medium,Ryan / Remo,2013-01-30,
23,"Garau, Maia
et al.",2003,Conference on Human Factors in Computing Systems (CHI),The Impact of Avatar Realism and Eye Gaze Control on Perceived Quality of Communication in a Shared Immersive Virtual Environment,Yes, N/A,Yes,"Eye Gaze (i)
Anthropomorphic Appearance (a)
Display Technology (sm)","Rating of quality of communication, Role play in negotiation", Avatar,No,Beliefs/Illusions,48 Same-sex pairs, Medium, Medium,Ryan / Remo,2013-01-30,
24,"Slater, Mel",2002,Presence: Teleoperators and Virtual Environments,Presence and The Sixth Sense,Yes,Yes, N/A,,Place illusions, N/A,No,Beliefs/Illusions,, Low, Medium,Ryan / Remo,2013-01-30,
25,"Guadagno, Rosanna E.
Cialdini, Robert B.",2005,The Social Net: The Social Psychology of the Internet,Online Persuasion and Compliance: Social Influence on the Internet and Beyond, No,Yes,Yes,Agency (i),"Effect of randomly generated ""compatibility"" on persuasiveness; Study focused on human psychology when interacting online", N/A,N/A, Behavior,, Low, Medium,Ryan / Remo,2013-01-30,
26,"Freeman, Jonathan
et al.",1999,Presence: Teleoperators and Virtual Environments,Effects of Sensory Information and Prior Experience on Direct Subjective Ratings of Presence, No,Yes,Yes,Display Technology (sm),"""3DTV"" experiment priming, i.e. prior experience modified subjective rating of presence", N/A,No, Behavior,"University students, normal vision, stereoacuity", Low,High,Ryan / Remo,2013-01-30,
27,"Huang, Yun
et al.",2009,International Conference on Computational Science and Engineering,Virtually There: Exploring Proximity and Homophily in a Virtual World, N/A, N/A, N/A,,Natural correlations, Avatar,Yes (game avatar), Behavior,North American EverQuest II players on a given server, Low, Medium,Ryan / Remo,2013-01-30,
28,"Kiesler, Sara
et al.",2008,Social Cognition,Anthropomorphic Interactions with a Robot and Robot–like Agent,Yes,Yes,Yes,"Physical Shape (s)
Anthropomorphic Appearance (a)
Emotiveness (i) 
Proxemics (sc)",Subjects expected a physical robot,Agent,No, Behavior,113 from CMU community,High, Medium,Ryan / Remo,2013-01-30,
29,"Blanke, Olaf
Metzinger, Thomas",2009,Trends in cognitive sciences,Full-Body Illusions and Minimal Phenomenal Selfhood,Yes, N/A, N/A,Physical Shape (s),, N/A,Yes (minimal necessary conditions for self-consciousness),Beliefs/Illusions,, Low, Medium,Ryan / Remo,2013-01-30,
30,"Slater, Mel",2009,"Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences",Place Illusion and Plausibility can Lead to Realistic Behaviour in Immersive Virtual Environments,Yes,Yes, N/A,"Situational Plausibility (a)
Immersiveness (sm)
Anthropomorphic Appearance (a)
Anthropomorphic Appearance (a)",, N/A,Yes (discusses virtual body as fusing point for place and plausibility illusion), Behavior,,High,High,Ryan / Remo,2013-01-30,
31,"Petkova, Valeria I
Ehrsson, H Henrik",2008,PLoS ONE,If I were You: Perceptual Illusion of Body Swapping,,Yes, N/A,"Physical Shape (s)
Synchronization of Stimuli (a)",, N/A,Yes (body swapping experience),Beliefs/Illusions,, Low, Medium,Ryan / Remo,2013-01-30,
32,"Mitchell, Wade J
et al.",2011,i-Perception,A Mismatch in the Human Realism of Face and Voice Produces an Uncanny Valley,Yes,Yes, N/A,"Auditory Stimuli (o)
Synchronization of Stimuli (a)","mismatch in the human realism of a character’s face and voice causes it to be
evaluated as eerie", Mixed,No,Beliefs/Illusions,48 US undergraduates, Medium, Low,Ryan / Remo,2013-01-30,
33,"IJsselsteijn, Wijnand
et al.",2001,Presence: Teleoperators and Virtual Environments,"Effects of Stereoscopic Presentation, Image Motion, and Screen Size on Subjective and Objective Corroborative Measures of Presence", N/A,Yes, N/A,Display Technology (sm),, N/A,No, Behavior,"University students under 1.85m, normal vision, stereoacuity", Low,High,Ryan / Remo,2013-01-30,
34,"Harvey, Michael A.
Sanchez-Vives, Maria V.",2005,Presence: Teleoperators and Virtual Environments,The Binding Problem in Presence Research,Yes,Yes, N/A,Synchronization of Stimuli (a),, N/A,No,Beliefs/Illusions,, Low, Medium,Ryan / Remo,2013-01-30,
35,"Powers, A.
Kiesler, S. 
Fussell, S. 
Torrey, C.",2007,Proceedings of the 2nd ACM/IEEE International Conference on Human-Robot Interaction (HRI),"Comparing a computer agent with a humanoid robot
", N/A,Yes,Yes,"Physical Shape (s)
Proxemics (s)",participants were asked to talk with the robot about their health and habit,Agent,No,"Behavior, Thoughts",113 random, Medium, Medium,Myungho,2013-01-31,
36,"Ahn, J. and Yang, H. and Kim, G.J. and Kim, N.",2012,Proceedings of the seventh annual ACM/IEEE international conference on Human-Robot Interaction,"User attentive behavior with camera view for in-situ robot control
", N/A, N/A, N/A,N/A,focusing on HRI, N/A,No," Behavior, Thoughts",Random, N/A, N/A,Myungho,2013-01-31,
37,"Kwon, E. and Kim, G.J.",2010,Proceedings of the 5th ACM/IEEE international conference on Human-robot interaction,"Humanoid robot vs. projector robot: exploring an indirect approach to human robot interaction
", N/A, N/A, N/A,Anthropomorphic Face and Facial Expressions (a),focusing on HRI, N/A,No, Thoughts,Random, Low, Low,Myungho,2013-01-31,
38,"Park, J. and Kim, G.J.",2009,Proceedings of the 4th ACM/IEEE international conference on Human robot interaction,"Robots with Projectors : An Alternative to Anthropomorphic HRI
", N/A, N/A, N/A,N/A,Projector based Human robot interaction, N/A,No, Thoughts,Random, N/A, N/A,Myungho,2013-01-31,
39,"Tachi, S. and Kawakami, N. and Nii, H. and Watanabe, K. and Minamizawa, K.",2008,"SICE Journal of Control, Measurement, and System Integration","Telesarphone: Mutual telexistence master-slave communication system based on retroreflective projection technology
", N/A,Yes, N/A,"Body Pose and Gestures (s, i)
Physical Shape (s)
Haptic / Tactile Interactions (o)",multiple view points, Avatar,"Yes ( They didn't evaluate anything, but they used a special inhabitor station to control the avatar and the inhibitor could feel the avatar's hand movement or touch )",N/A,N/A,High, Medium,Myungho,2013-01-31,
40,"Tsui, K.M. and Norton, A. and Brooks, D. and Yanco, H.A. and Kontak, D.",2011,Int. Symposium on Quality of Life Technologies: Intelligent Systems for Better Living,"Designing Telepresence Robot Systems for Use by People with Special Needs
", No, No, No,N/A,focusing on designing interface for teleoperation for people with special needs, Avatar,No, Behavior,3 unabled people, N/A, Low,Myungho,2013-01-31,
41,"Goza, SM and Ambrose, RO and Diftler, MA and Spain, IM",2004,Proceedings of the SIGCHI conference on Human factors in computing systems,"Telepresence control of the NASA/DARPA robonaut on a mobility platform
", N/A, N/A, N/A,N/A,focusing on teleoperation, Avatar,"Yes ( No evaluation, Syncronized Arm movement between Avatar and Inhabitor ) ",N/A,N/A, N/A, Medium,Myungho,2013-01-31,
42,"Sakamoto, D. and Kanda, T. and Ono, T. and Ishiguro, H. and Hagita, N.",2007,Proceedings of the 2nd ACM/IEEE International Conference on Human-Robot Interaction (HRI),"Android as a telecommunication medium with a human-like presence
",Yes,Yes, No,"Body Pose and Gestures (s, i)
Anthropomorphic Face and Facial Expressions (a)
Body Pose and Gestures (s, i)
Physical Shape (s)","unconsious behavior
humanoid vs. 2D human face", Mixed,No, Thoughts,34 university students,High,High,Myungho,2013-01-31,
43,"Maeda, H. and Hirose, K. and Yamashita, J. and Hirota, K. and Hirose, M.",2003,Proceedings of the 2nd IEEE/ACM International Symposium on Mixed and Augmented Reality,"All-around display for video avatar in real world
", N/A, N/A, N/A,Physical Shape (s),focusing on development of an avatar system with 3D spinning display , Avatar,No,N/A,N/A, Low, Low,Myungho,2013-01-31,
44,"Breazeal, C.",2003,Robotics and Autonomous Systems,Toward Sociable Robots,Yes, N/A,Yes,"Emotiveness (i)
Body Pose and Gestures (s, i)
Anthropomorphic Face and Facial Expressions (a)","participants were told that the robot neither speaks nor understands English, but babbles in a characteristic manner.",Agent,No, Behavior,4 random, Medium,High,Myungho,2013-01-31,
45,"Bates, J. and others",1994,Communications of the ACM,"The role of emotion in believable agents
",Yes, No, N/A,Emotiveness (i) ,discussion on a believable character,Agent,No,N/A,N/A, Low, Medium,Myungho,2013-01-31,
46,"Lee, J.K. and Toscano, R.L. and Stiehl, W.D. and Breazeal, C.",2008,The 17th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN 2008),"The design of a semi-autonomous robot avatar for family communication and education
", N/A, N/A, N/A,"Body Pose and Gestures (s, i)
Eye Gaze (i)
Physical Shape (s)",focusing on the design of a robot avatar, Mixed,No,N/A,N/A, Medium,High,Myungho,2013-01-31,
47,"Nowak, K.L. and Biocca, F.",2003,Presence: Teleoperators and Virtual Environments,"The effect of the agency and anthropomorphism on users' sense of telepresence, copresence, and social presence in virtual environments
",Yes, No,Yes,"Anthropomorphic Face and Facial Expressions (a)
Agency (i)",participants were told whether they were interacting with either human or AI,Agent,No,"Beliefs/Illusions, Thoughts",134 undergraduates, Medium,High,Myungho,2013-01-31,
48,"Holz, T. and Dragone, M. and O’Hare, G.M.P. and Martin, A. and Duffy, B.R.",2006,"ABSHL’06: Agent-Based Systems for Human Learning, AAMAS 2006 Workshop","Mixed reality agents as museum guides
", N/A,Yes, N/A,Physical Shape (s),A robot with AR marker,Agent,No,N/A,N/A, Low, Low,Myungho,2013-01-31,
49,"Jones, A. and Lang, M. and Fyffe, G. and Yu, X. and Busch, J. and McDowall, I. and Bolas, M. and Debevec, P.",2009,ACM Transactions on Graphics (TOG),"Achieving eye contact in a one-to-many 3D video teleconferencing system
", N/A,Yes, N/A,Eye Gaze (i),3D spinning display, Avatar,No,N/A,N/A, Low,High,Myungho,2013-01-31,
50,"Sanchez-Vives, M.V. and Slater, M.",2005,Nature Reviews Neuroscience,"From presence to consciousness through virtual reality.
", N/A,Yes, N/A,N/A,leading article, N/A,No,N/A,N/A, N/A, Medium,Myungho,2013-01-31,
51,"Bailenson, J.N. and Swinth, K. and Hoyt, C. and Persky, S. and Dimov, A. and Blascovich, J.",2005,Presence: Teleoperators and Virtual Environments,"The Independent and Interactive Effects of Embodied-Agent Appearance and Behavior on Self-Report, Cognitive, and Behavioral Markers of Copresence in Immersive Virtual Environments
",Yes, No, No,"Body Pose and Gestures (s, i)
Anthropomorphic Face and Facial Expressions (a)
",varing appearance and behavior,Agent,No,"Beliefs/Illusions, Behavior, Thoughts",146(M:F=50:50) (18~27), Medium,High,Myungho,2013-01-31,
52,"Slater, M.",2009,Philosophical Transactions of the Royal Society B: Biological Sciences,"Place illusion and plausibility can lead to realistic behaviour in immersive virtual environments.
",Yes,Yes, N/A,N/A,leading article, N/A,No,N/A,N/A,N/A,High,Myungho,2013-01-31,
53,"Slater, M. and Garau, M.",2007, Presence: Teleoperators and Virtual Environments,"The Use of Questionnaire Data in Presence Studies: Do Not Seriously Likert
", N/A, N/A, N/A,N/A,validity of using questionnaire, N/A,No,N/A,N/A,N/A,N/A,Myungho,2013-01-31,
54,"Garau, M. and Slater, M. and Pertaub, D.P. and Razzaque, S.",2005,Presence: Teleoperators and Virtual Environments,The Responses of People to Virtual Humans in an Immersive Virtual Environment,Yes, No, No,"Anthropomorphic Face and Facial Expressions (a)
Responsiveness / Latency (o)
Body Pose and Gestures (s, i)
Proxemics (s)","varing reactiveness
EDA, HR",Agent,No," Behavior, Physiology, Thoughts",Random,High,High,Myungho,2013-01-31,
55,"Phillips, Lane
Ries, Brian
Kaeding, Michael
Interrante, Victoria",2010,IEEE Virtual Reality,Avatar Self-Embodiment Enhances Distance Perception Accuracy in Non-Photorealistic Immersive Virtual Environments,N/A,N/A, N/A,N/A,"only inhabiter-avatar relation,
measure the inhabiter's ability to judge distance in VE in terms of graphical fidelity.", Avatar,Yes (relationship between inhabiter's ability to judge distances in VE and fidelity of VE),N/A,"12 new participants (11 male, 1 female) + their previous experiment (8 participants) = total 20 participants.
age: 18-33, $10 compensation",Medium,High,Kangsoo,2013-01-30,
56,"Fischer, Kerstin
Lohan, Katrin
Foth, Kilian",2012,International Conference on Human-Robot Interaction (HRI),Levels of Embodiment: Linguistic Analyses of Factors Influencing HRI,Yes, No, No,"Eye gaze (R),
Body Pose and Gestures (R),
Anthropomorphic Face and Facial Expressions (SC),
Physical Shape (SC)","Experiment: observe the interacter's behaviors during given task.
Task: explaining some household objects to agent in three conditons: virtual agent, robot moving the eyes, and robot moving several parts (eyes, head, and neck)",Agent,No,"Behavior (user's linguistic behavior)
Thoughts (robot's embodiment)","virtual agent: 30 participants
robot moving eyes: 8 participants
robot moving eyes and head: 6 participants
students or staff from Bielefeld University
age: 17-63",High,High,Kangsoo,2013-01-30,v
57,"Mazlan, Mohammad Nur Azhar
Burd, Liz",2011,Frontiers in Education Conference (FIE),Does an Avatar Motivate?,N/A,N/A, N/A,N/A,2D cartoon image avatar, N/A,N/A,N/A,N/A,Low,N/A,Kangsoo,2013-01-30,
58,"Chuah, Joon Hao
Lok, Benjamin",2012,IEEE International Symposium on Mixed and Augmented Reality (ISMAR),Hybrid Virtual-Physical Entities,Yes,Yes, No,"Anthropomorphic Face and Facial Expressions (SC),
Body Pose and Gestures (R),
Physical Shape (SC),
Display Technology (sm),
Tracking Accuracy (sm)","virtual-physical avatar, see-through display, tracking system for head-coupled perspective",Agent,No,Beliefs/Illusions (realism of agent),"33 participants
(have to see the author's other papers for the details)",High,Low,Kangsoo,2013-01-30,v
59,"Howard, Ayanna M.
Roberts, Luke
Garcia, Sergio
Quarells, Rakale",2012,IEEE International Symposium on Mixed and Augmented Reality (ISMAR),"Using Mixed Reality to Map Human Exercise Demonstrations to a Robot Exercise
Coach",N/A,N/A,N/A,N/A,"only inhabiter-avatar relation, but the inhabiter see their own avatar.
they use both virtual agent and physical robot.
kinect sensor tracks inhabiter (=interactor) motion.", Avatar,"Yes (indirectly related: users see their own avatars--robot and virtual charater, and users are promoted to exercise effectively)",N/A,"20 subjects (9: female, 11: male), age: 18-32 (avg: 23)","Medium (user study was about the exercise application, not the avatar system)",Medium,Kangsoo,2013-01-30,
60,"Yura, Shunsuke
Usaka, Tomonori
Sakamura, Ken",1999,Proceedings IEEE International Conference on Multimedia Computing and Systems,Video Avatar: Embedded Video for Collaborative Virtual Environment,N/A,N/A, N/A,N/A,"inhabiter-avatar relation, and only description about implementation and features that they developed ", Avatar,N/A,N/A,N/A,Low,Medium,Kangsoo,2013-01-30,
61,"Cassell, J.
Ananny, M.
Basu, A.
Bickmore, T.
Chong, P.
Mellis, D.
Ryokai, K.
Smith, J.
Vilhjalmsson, H.
Yan, H.",2000,CHI,Shared reality: physical collaboration with a virtual peer,Yes,Yes, No,"Talk/Speak (p, r),
Body Pose and Gestures (P, R),
Physical Shape (SC),
Pressure sensing (sm),
Auditory Stimuli (sm)","virtual-physical fusion (mixture of physical object and virtual agent),
pressure sensing in the floor to recognize the position of the interactor.",Agent,N/A,N/A,N/A,Medium,High,Kangsoo,2013-01-30,v
62,"Breazeal, Cynthia",2003,International Journal of Human-Computer Studies,Emotion and sociable humanoid robots,N/A,N/A,N/A,N/A,development of robot that can express emotions,Agent,N/A,N/A,N/A,Low,High,Kangsoo,2013-01-30,
63,"Badler, Norman I.",2001,Communications of the ACM,Virtual Beings,N/A,N/A,N/A,N/A,general review, N/A,N/A,N/A,N/A,Low,Medium,Kangsoo,2013-01-30,
64,"Sakagami, Yoshiaki
Watanabe, Ryujin
Aoyama, Chiaki
Matsunaga, Shinichi
Higaki, Nobuo
Fujimura, Kikuo",2002, International Conference on Intelligent Robots and Systems,The intelligent ASIMO: System overview and integration,N/A,N/A, N/A,N/A,overview to implement agent system,Agent,N/A,N/A,N/A,Low,Medium,Kangsoo,2013-01-30,
65,"Noma, Tsukasa
Zhao, Liwei
Badler, Norman I.",2000,IEEE Computer Graphics and Applications,Design of a Virtual Human Presenter,N/A,N/A,N/A,N/A,text input-based computer-generated agent,Agent,N/A,,N/A,Low,Medium,Kangsoo,2013-01-30,
66,"Buthpitiya, Senaka
Zhang, Ying",2010, International Conference on Advances in Computer-Human Interactions,HyPhIVE : A Hybrid Virtual-Physical Collaboration Environment,Yes,Yes, No,"Eye Gaze (P, R),
Anthropomorphic Face and Facial Expressions (SC),
Body Pose and Gestures (P, R),","conference meeting in VE, embedded sensors in mobile devices (SM)", Avatar,N/A,,N/A,Medium,Medium,Kangsoo,2013-01-30,v
67,"Kose-Bagci, Hatice
Ferrari, Ester
Dautenhahn, Kerstin
Syrdal, Dag Sverre
Nehaniv, Chrystopher L.",2009,Advanced Robotics,Effects of Embodiment and Gestures on Social Interaction in Drumming Games with a Humanoid Robot,Yes, No, No,"Body Pose and Gestures (P, R),
Agency (P, R),
Physical Shape (SC),
Anthropomorphic Face and Facial Expressions (SC)",,Agent,No,,"66 participants (age: 9-10, primary school students)",High,High,Kangsoo,2013-01-30,v
68,"Pacchierotti, Elena
Christensen, Henrik I.
Jensfelt, Patric",2005,Field and Service Robotics,Embodied social interaction for service robots in hallway environments,Yes, No, No,"Body Pose and Gestures (P, R),
Physical Shape (SC)",,Agent,No,,no information about the participants,High,Low,Kangsoo,2013-01-30,v
69,"Davis, S.
Tsagarakis, N.G.
Caldwell, Darwin G.",2008,IEEE-RAS International Conference on Humanoid Robots,The Initial Design and Manufacturing Process of a Low Cost Hand for the Robot iCub,N/A,N/A,N/A,N/A,need to check out the paper which mentions the whole iCub robot system,Agent,N/A,N/A,N/A,Low,Low,Kangsoo,2013-01-30,
70,"Swartout, William R.
Gratch, Jonathan
Hill, Randall W.
Hovy, Eduard
Marsella, Stacy
Rickel, Jeff
Traum, David",2006,AI Magazine,Toward virtual humans,N/A,N/A, N/A,N/A,"this paper is about the working process of virtual human system.
need to check out the paper which is about the system itself and its user study.", N/A,N/A,,N/A,Low (have to see other papers which related to user study),Medium,Kangsoo,2013-01-30,
71,"Pedersen, L.
Kortenkamp, D.
Wettergreen, D.
Nourbakhsh, I.",2003," International Symposium on Artificial Intelligence, Robotics and Automation in Space (ISAIRAS)",A Survey of Space Robotics,N/A,N/A,N/A,N/A,N/A, Mixed,N/A,N/A,N/A,Low,Medium,Kangsoo,2013-01-30,
72,,,,No Paper (Microsoft’s Virtual Human—Milo),N/A,N/A,N/A,N/A,N/A,Agent,N/A,N/A,N/A,N/A,N/A,Kangsoo,2013-01-30,
73,"Nishio, Shuichi
Ishiguro, Hiroshi
Hagita, Norihiro",2007,(Book) Humanoid Robots: New Developments ,Geminoid: Teleoperated android of an existing person,Yes, No, No,"Body Pose and Gestures (P, R),
Physical Shape (SC),
Anthropomorphic Face and Facial Expressions (SC)",, Avatar,No,Beliefs/Illusions,N/A,Medium,High,Kangsoo,2013-01-30,v
74,"Nishio, Shuichi
Ishiguro, Hiroshi",2011, International Journal of Machine Consciousness,Attitude change induced by different appearances of interaction agents,Yes, No, No,"Body Pose and Gestures (P),
Physical Shape (SC),
Anthropomorphic Face and Facial Expressions (SC)","comparison among dummy object, humanoid, android, and real human
During priming, users received explanation on general procedure", Avatar,No, Behavior,"14 japanese (8 male, 6 female), compensation: Y(yen) 3000",High,High,Kangsoo,2013-01-30,v
75,"Bartneck, Christoph
Kanda, Takayuki
Ishiguro, Hiroshi
Hagita, Norihiro",2007, IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),Is the uncanny valley an uncanny cliff?,Yes, No, No,"Body Pose and Gestures (P),
Physical Shape (SC),
Anthropomorphic Face and Facial Expressions (SC)",Users were primed by reading instructions., Avatar,No, Thoughts,"58 associated people with a Universiy in the Kyoto (28: female, 30: male), age: 18-41 (mean: 21.3)",High,High,Kangsoo,2013-01-30,v
76,"Slater, Mel
Lotto, Beau
Arnold, Maria Marta
Sanchez-Vives, Maria V.",2009,Anuario de Psicología,How we experience immersive virtual environments: the concept of presence and its measurement,Yes,Yes,N/A,"Anthropomorphic Appearance (sc)
Situational Plausibility (sc)
Display Technology (sm)
Tracking Accuracy (sm)","paper defines the concept of presence apart from other confusing terms, and its measurement,

study of users' response to a real person or virtual person walking by them.", N/A,No,Physiology,6 subjects,High,High,Kangsoo,2013-01-30,v
